Timestamp,Voltage,Current,Linear Fit,Resistance
3.205078125,3.000572443,0.000514316,0.000513427,5834.102050781
3.383789062,0.100592390,0.000016865,0.000015979,5964.522949219
3.398437500,0.421320707,0.000071387,0.000070998,5901.935546875
3.450195312,0.743762136,0.000126146,0.000126312,5896.042968750
3.464843750,1.065582156,0.000181063,0.000181519,5885.132324219
3.479492187,1.387974858,0.000236133,0.000236824,5877.930175781
3.494140625,1.709971428,0.000291458,0.000292061,5866.957519531
3.508789062,2.033013105,0.000347030,0.000347478,5858.317871094
3.523437500,2.355518579,0.000402632,0.000402802,5850.304687500
3.538085937,2.678200722,0.000458522,0.000458157,5840.946777344
3.552734375,3.000227928,0.000514294,0.000513400,5833.686035156
3.731445312,0.101095788,0.000016873,0.000016045,5991.472656250
3.746093750,0.421628296,0.000071390,0.000071039,5905.952148437
